0;3
0;4
0;14
0;6
0;37
1;0
2;0
2;1
2;16
3;9
3;20
5;0
5;3
5;4
5;15
6;10
7;0
7;1
7;13
8;0
8;1
8;40
9;23
10;19
10;11
11;18
12;0
12;3
12;4
12;6
12;9
12;55
13;26
13;27
15;38
15;47
16;42
16;52
17;0
17;3
17;4
17;6
17;9
17;12
17;56
18;45
19;28
19;39
21;19
22;9
22;14
24;8
24;0
24;1
25;19
25;9
25;3
25;20
25;21
29;20
29;15
30;34
30;19
30;44
30;21
31;0
31;1
31;2
31;6
31;10
31;16
32;18
32;11
32;20
33;0
33;1
33;3
33;7
33;9
33;13
33;20
35;11
35;26
35;19
35;10
36;0
36;1
41;0
41;3
41;4
41;5
41;40
41;15
42;43
44;46
48;42
48;43
49;32
49;11
49;18
49;20
49;57
49;27
50;0
50;1
50;2
50;3
50;6
50;9
50;10
50;16
50;20
50;31
51;0
51;3
51;4
51;37
51;6
51;45
51;14
51;18
53;9
53;14
53;22
54;0
54;1
54;2
54;6
54;10
54;16
54;31
58;0
58;1
58;13
58;7
