1;918
1;1315
1;371
1;1334
2;432
2;500
2;1209
2;634
2;635
3;278
3;426
3;176
3;305
3;1010
3;63
4;83
4;676
4;615
4;1287
4;1240
5;1384
6;872
6;1033
6;1133
6;889
6;570
6;156
7;740
7;296
7;176
7;529
7;922
8;132
8;1297
8;52
8;1077
8;825
8;62
8;969
8;1359
8;1240
8;122
8;229
8;1248
8;997
8;103
8;874
8;634
9;643
9;280
10;950
10;663
10;382
10;143
11;568
11;51
11;500
11;1079
11;888
11;25
11;382
12;331
12;145
13;663
14;810
14;461
14;45
14;242
14;922
15;1178
16;922
16;555
16;58
16;509
16;382
17;649
17;1177
17;740
17;807
17;810
17;369
17;178
17;500
17;73
17;379
18;843
18;1359
18;866
19;1312
19;789
20;75
20;742
21;289
21;557
22;156
22;810
22;636
23;673
23;45
24;1262
25;964
25;1325
25;444
25;255
26;500
27;770
27;39
27;968
27;364
27;78
27;176
27;440
27;888
27;1209
27;90
27;826
28;1033
29;303
29;304
29;285
30;265
31;408
32;1391
33;1139
33;1012
33;280
33;1332
34;1370
34;574
35;1325
35;687
36;491
37;1027
37;1190
37;158
38;111
38;565
38;125
39;865
39;745
39;1085
40;906
41;960
42;1085
43;967
43;105
43;125
43;687
43;253
43;662
43;408
43;57
43;122
43;1274
43;474
43;63
44;257
44;1293
44;273
44;1054
44;45
44;189
44;370
44;1213
45;382
46;800
46;680
46;561
46;850
46;435
46;122
47;709
47;542
48;786
48;708
49;408
49;759
49;105
50;1160
50;1385
50;25
50;59
50;670
51;326
51;587
52;513
52;1188
52;1168
52;274
52;507
52;287
53;690
53;981
53;991
53;126
53;133
54;873
55;369
55;1318
55;45
56;967
57;279
57;986
57;186
58;72
58;500
58;103
59;623
59;1015
60;67
60;452
60;453
60;161
60;73
60;779
60;719
60;1155
60;25
60;218
60;1359
60;1055
60;865
60;1403
60;1064
60;63
60;427
60;45
60;430
60;689
60;53
60;888
60;703
60;61
61;330
61;747
61;15
62;80
63;166
63;909
63;663
63;95
64;1063
65;322
65;1013
66;1105
66;145
67;888
67;474
67;895
68;1386
69;296
69;434
69;629
69;233
69;1020
70;745
71;176
71;306
72;280
73;162
73;263
73;111
73;439
74;839
74;719
74;63
75;1400
75;670
75;63
76;103
76;233
76;45
76;719
76;280
76;283
76;31
77;576
78;634
79;102
79;887
80;899
80;244
81;1410
81;476
82;969
82;1223
83;396
84;1349
84;474
84;1118
84;63
85;1385
86;71
86;508
86;491
86;1164
86;725
86;534
86;183
86;474
86;124
87;1412
87;25
87;122
87;29
88;642
88;111
88;561
88;764
89;1047
90;1134
91;505
92;631
93;881
93;630
94;322
94;364
94;269
95;1341
95;30
96;1173
96;157
97;888
97;575
98;476
99;2
99;969
99;211
99;474
99;297
99;810
99;493
99;495
99;505
99;186
100;332
100;1199
100;63
101;114
101;372
101;118
101;375
101;1401
101;63
102;1064
102;185
102;296
103;25
103;474
103;634
104;953
104;251
105;322
106;422
107;1280
107;408
107;670
107;85
108;832
109;468
110;64
110;361
110;111
110;850
110;252
110;670
111;258
111;493
111;599
111;63
112;762
112;45
112;176
112;280
112;634
112;1085
112;575
113;282
114;132
114;165
114;168
114;1131
114;498
114;146
114;309
114;853
114;120
114;1124
114;27
114;1148
114;474
114;446
114;469
115;66
115;376
115;24
115;635
116;383
117;91
117;637
117;1023
118;1357
118;662
118;595
118;668
118;735
119;897
119;1079
119;255
120;634
120;75
120;667
120;1350
121;1166
121;179
121;376
121;88
121;250
121;639
122;709
122;4
122;1052
123;514
123;496
123;466
123;117
123;86
123;569
123;507
123;156
124;529
124;852
125;441
125;815
126;582
126;110
126;63
126;188
126;229
127;1385
127;147
127;500
127;244
128;751
128;1336
129;51
129;1300
129;1080
129;1308
129;1197
130;1282
130;663
131;903
131;312
131;895
132;1325
133;1088
133;35
133;475
133;701
134;227
134;932
134;103
134;40
134;176
134;145
